Tat, a potent activator of HIV-1 gene expression, serves to greatly increase the rate of transcription directed by the viral promoter.
[Tat; ;a potent activator of HIV-1 gene expression ]
[activator; ;a ]
[activator; ;potent ]
[activator;of;expression ]
[expression; ;HIV-1 ]
[expression; ;gene ]
[serves;to;rate ]
[serves; ;activator ]
[rate; ;the@1 ]
[increase; ;greatly ]
[increase; ;rate ]
[rate;of;transcription ]
[directed; ;transcription ]
[directed;by;promoter ]
[promoter; ;the@2 ]
[promoter; ;viral ]
