Deletion mapping and hybrid promoter constructs demonstrate that the newly identified Tat-responsive element corresponds to a sequence within the viral long terminal repeat (LTR) previously identified as the HIV-1 enhancer, or NF-kappa B domain.
[mapping; ;Deletion ]
[and; ;mapping ]
[and; ;constructs ]
[constructs; ;hybrid ]
[constructs; ;promoter ]
[demonstrate; ;constructs ]
[demonstrate; ;that ]
[that; ;the newly identified Tat-responsive element ]
[element; ;Tat-responsive ]
[element; ;identified ]
[element; ;newly ]
[element; ;the@1 ]
[corresponds; ;element ]
[corresponds;to;sequence ]
[sequence; ;a ]
[sequence;within;repeat ]
[repeat; ;terminal ]
[repeat; ;long ]
[repeat; ;viral ]
[repeat; ;the@1 ]
[long terminal repeat; ;LTR ]
[identified; ;previously ]
[identified; ;repeat ]
[identified; ;as ]
[identified; ;enhancer ]
[enhancer; ;HIV-1 ]
[enhancer; ;the@2 ]
[or; ;enhancer ]
[or; ;domain ]
[domain; ;NF-kappa ]
[domain; ;B ]
