A cis-acting element (P sequence) resides in the 5' upstream region; no additional DNA segments with enhancer activity were identified in the human IL-4 gene.
[element; ;A ]
[element; ;cis-acting ]
[element; ;P sequence ]
[resides; ;element ]
[resides;in;region ]
[region; ;upstream ]
[region; ;5' ]
[segments; ;no ]
[segments; ;additional ]
[segments; ;DNA ]
[segments;with;activity ]
[activity; ;enhancer ]
[identified; ;were ]
[identified; ;activity ]
[identified;in;gene ]
[gene; ;the ]
[gene; ;IL-4 ]
[gene; ;human ]
