These results indicate that activation of c-fos is involved in IL 6-induced differentiation of SKW 6.4 cells into IgM-secreting cells. 
[results; ;These]
[indicate; ;results]
[indicate; ;that]
[that; ;activation of c-fos is involved in IL 6-induced differentiation of SKW 6.4 cells into IgM-secreting cells]
[activation;of;c-fos]
[involved; ;activation]
[involved; ;is]
[involved;in;differentiation]
[differentiation; ;IL 6-induced]
[differentiation;of;SKW 6.4 cells]
[cells; ;SKW]
[cells; ;6.4]
[involved;into;cells]
[cells; ;IgM-secreting]
[IgM;-;secreting]
