Little effect was observed with 50-kDa forms of p105 NF-kappa B or rel, in combination with p65 or full-length c-rel, which do not stimulate the HIV enhancer in these cells. 
[effect; ;Little]
[observed; ;was]
[observed; ;effect]
[observed;with;forms]
[forms; ;50-kDa]
[forms;of;NF-kappa B]
[forms;of;rel]
[or@1; ;NF-kappa B]
[or@1; ;rel]
[NF-kappa B; ;p105]
[observed;in combination with;p65]
[observed;in combination with;c-rel]
[or@2; ;p65]
[or@2; ;c-rel]
[c-rel; ;full-length]
[length;-;full]
[observed; ;which]
[stimulate; ;which]
[stimulate; ;do]
[do; ;not]
[stimulate; ;enhancer]
[enhancer;;HIV]
[HIV; ;the]
[stimulate;in;cells]
[cells; ;these]
