After appropriate stimulation, both NF-AT and AP-1 are peculiarly sensitive to the protein synthesis inhibitor anisomycin.
[both NF-AT and AP-1 are peculiarly sensitive to the protein synthesis inhibitor anisomycin;After;appropriate stimulation]
[stimulation; ;appropriate]
[both¡­and; ;NF-AT]
[both¡­and; ;AP-1]
[are; ;NF-AT]
[are; ;AP-1]
[are; ;sensitive]
[sensitive; ;peculiarly]
[sensitive;to;protein synthesis inhibitor anisomycin]
[protein synthesis inhibitor anisomycin; ;the]
[anisomycin; ;protein]
[anisomycin; ;synthesis]
[anisomycin; ;inhibitor]
