In human histiocytic U937 cells mRNA of clone pAT 133 was constitutively expressed, whereas mRNA of pAT 225/EGR1 was induced upon induction of terminal differentiation. 
[mRNA;in;human histiocytic U937 cells]
[mRNA@1;of@1;clone pAT 133]
[pAT 133; ;clone]
[expressed; ;mRNA@1]
[expressed; ;was@1]
[expressed; ;constitutively]
[In human histiocytic U937 cells mRNA@1 of@1 clone pAT 133 was@1 constitutively expressed;whereas;mRNA@2 of@2 pAT 225/EGR1 was@2 induced upon induction of@3 terminal differentiation]
[mRNA@2;of@2;pAT 225/EGR1]
[induced; ;mRNA@2]
[induced; ;was@2]
[induced;upon;induction]
[induction;of@3;terminal differentiation]
[differentiation; ;terminal]
