The promoters and enhancers of cell type-specific genes are often conserved in evolution, and hence one might expect that a given enhancer has evolved to work best with its own promoter. 
[promoters; ;The]
[and; ;promoters]
[and; ;enhancers]
[enhancers;of;genes]
[genes; ;cell type-specific]
[specific;-;cell type]
[conserved; ;promoters]
[conserved; ;enhancers]
[conserved;are; ]
[conserved; ;often]
[conserved;in;evolution]
[and; ;The promoters and enhancers of cell type-specific genes are often conserved in evolution]
[and; ;hence one might expect that a given enhancer has evolved to work best with its own promoter]
[expect; ;one]
[expect; ;might]
[expect; ;that]
[that; ;a given enhancer has evolved to work best with its own promoter]
[enhancer; ;a]
[enhancer; ;given]
[evolved; ;has]
[evolved; ;enhance]
[evolved;to;work]
[work; ;best]
[work;with;promoter]
[promoter; ;its]
[promoter; ;own]

