Although sensitivity to M-CSF can be modulated by regulation of receptor expression and function, M-CSF responsiveness is largely determined at a postreceptor level.

[M-CSF responsiveness is largely determined at a postreceptor level;Although;sensitivity to M-CSF can be modulated by regulation of receptor expression and function]
[sensitivity;to;M-CSF@1]
[modulated;be; ]
[modulated; ;can]
[modulated;by;regulation]
[regulation;of;expression]
[regulation;of;function]
[and; ;expression]
[and; ;function]
[expression; ;receptor]
[responsiveness; ;M-CSF@2]
[determined; ;responsiveness]
[determined;is; ]
[determined; ;largely]
[determined;at;level]
[level; ;a]
[level; ;postreceptor]
