This gene is yet another in a growing list of important regulatory molecules whose expression is transcriptionally induced upon cellular activation. 
[gene; ;This]
[is; ;gene]
[is; ;yet]
[is; ;another]
[another;in;list]
[list; ;a]
[list; ;growing]
[list;of;regulatory molecules]
[regulatory molecules; ;important]
[molecules; ;regulatory]
[regulatory molecules; ;whose expression is transcriptionally induced upon cellular activation]
[regulatory molecules; ;whose]
[expression; ;whose]
[induced; ;expression]
[induced; ;is]
[induced; ;transcriptionally]
[induced;upon;cellular activation]
[activation; ;cellular]
