In primary T lymphocytes we show that CD28 ligation leads to the rapid intracellular formation of reactive oxygen intermediates (ROIs) which are required for CD28-mediated activation of the NF-kappa B/CD28-responsive complex and IL-2 expression.

[ ;In;T lymphocytes]
[T lymphocytes; ;primary]
[show; ;we]
[show; ;that]
[that; ;CD28@1 ligation leads to the rapid intracellular formation of reactive oxygen intermediates (ROIs)]
[ligation; ;CD28@1]
[leads;to;formation]
[formation; ;intracellular]
[intracellular; ;rapid]
[formation; ;the@1]
[formation;of@1;intermediates]
[reactive oxygen intermediates; ;ROIs]
[intermediates; ;oxygen]
[oxygen; ;reactive]
[ROIs; ;which]
[intermediates; ;which]
[required; ;which]
[required;are; ]
[required;for;activation]
[activation; ;CD28@2-mediated]
[mediated;-;CD28@2]
[activation;of@2;complex]
[activation;of@2;expression]
[complex; ;the@2]
[complex; ;B/CD28@3-responsive]
[responsive;-;B/CD28@3]
[/; ;B]
[/; ;CD28@3]
[and; ;complex]
[and; ;expression]
[expression; ;IL-2]


