Biochemical studies demonstrate that OBF-1 has no intrinsic DNA-binding activity and recognizes the POU domains of Oct-1 and Oct-2, but not those of Oct-4 and Oct-6. 
[studies; ;Biochemical]
[demonstrate; ;studies]
[demonstrate; ;that]
[that; ;OBF-1 has no intrinsic DNA-binding activity and@1 recognizes the POU domains of@1 Oct-1 and@2 Oct-2, but not those of@2 Oct-4 and@3 Oct-6]
[has; ;OBF-1]
[has; ;activity]
[activity; ;no]
[activity; ;intrinsic]
[activity; ;DNA-binding]
[and@1; ;has]
[and@1; ;recognizes]
[recognizes; ;POU domains]
[POU domains; ;the]
[POU domains;of@1;Oct-1]
[and@2; ;Oct-1]
[and@2; ;Oct-2]
[has;but;has]
[has; ;not]
[has; ;those]
[those;of@2;Oct-4]
[and@3; ;Oct-4]
[and@3; ;Oct-6]
