Results of preliminary studies, many of which were conducted by Dr. Dezube, suggest that use of this agent in combination with antiretroviral compounds may prove useful in the treatment of patients with HIV-1 infection. 
[Results;of@1;studies]
[studies; ;preliminary]
[studies; ;which]
[many;of@2;which]
[conducted; ;many]
[conducted; ;were]
[conducted;by;Dr. Dezube]
[suggest; ;Results]
[suggest; ;that]
[that; ;use of this agent in combination with antiretroviral compounds may prove useful in the treatment of patients with HIV-1 infection]
[use;of@3;agent]
[agent; ;this]
[agent;in;combination]
[combination;with;compounds]
[compounds; ;antiretroviral]
[prove; ;use]
[prove; ;useful]
[useful;in;treatment]
[treatment; ;the]
[treatment;of@4;patients]
[patients;with;infection]
[infection; ;HIV-1]
