In the intron, further transcription factor binding sites, including a NF-kappa B element, were identified leading to the suggestion that the expression of the gene encoding for the nuclear autoantigen La/SS-B alters in dependence on disease conditions. 
[ ;In;intron]
[intron; ;the@1]
[sites; ;further]
[sites; ;transcription factor]
[sites; ;binding]
[including; ;sites]
[including; ;NF-kappa B element]
[NF-kappa B element; ;a]
[element; ;NF-kappa B]
[identified; ;sites]
[identified; ;were]
[identified; ;leading]
[leading;to;suggestion]
[suggestion; ;the@2]
[suggestion; ;that]
[that; ;the@3 expression of the@4 gene encoding for the@5 nuclear autoantigen La/SS-B alters in dependence on disease conditions]
[expression; ;the@3]
[expression;of;gene]
[gene; ;the@4]
[encoding; ;gene]
[encoding;for;nuclear autoantigen La/SS-B]
[nuclear autoantigen La/SS-B; ;the@5]
[alters; ;expression]
[alters;in;dependence]
[dependence;on;conditions]
[conditions; ;disease]

