Further, coexpression of a reciprocally mutant Myc protein capable of forming functional heterodimers with the mutant Max can compensate for the dominant negative activity and restore activation-induced apoptosis.
[coexpression;of@1;reciprocally mutant@1 Myc protein]
[reciprocally mutant@1 Myc protein; ;a]
[protein; ;Myc]
[protein; ;mutant@1]
[mutant@1; ;reciprocally]
[reciprocally mutant@1 Myc protein;capable of@2;forming]
[forming; ;heterodimers]
[heterodimers; ;functional]
[heterodimers;with;Max]
[Max; ;mutant@2]
[compensate; ;coexpression]
[compensate; ;can]
[compensate;for;dominant negative activity]
[dominant negative activity; ;the]
[activity; ;dominant]
[activity; ;negative]
[and; ;compensate]
[and; ;restore]
[restore; ;apoptosis]
[apoptosis; ;activation-induced]
[induced;-;activation]
