Although the exact mechanism by which apoptosis occurs in lymphocytes is unknown many biochemical and molecular changes have been shown to occur in these cells in response to glucocorticoids.

[many biochemical and molecular changes have been shown to occur in these cells in response to glucocorticoids;Although;the exact mechanism by which apoptosis occurs in lymphocytes is unknown]
[mechanism; ;the]
[mechanism; ;exact]
[mechanism;by;which]
[apoptosis; ;which]
[occurs; ;apoptosis]
[occurs;in;lymphocytes]
[is; ;biochemical]
[is; ;mechanism]
[biochemical; ;unknown]
[biochemical; ;many]
[and; ;biochemical]
[and; ;molecular]
[changes; ;biochemical]
[changes; ;molecular]
[shown;been;have]
[shown; ;changes]
[shown;to@1;occur]
[occur;in@1;cells]
[cells; ;these]
[cells;in@2 response to@2;glucocorticoids]

