Induction of HIV-1 gene expression in monocytic cells by superantigens occurred via tumor necrosis factor-alpha-dependent and -independent mechanisms.

[Induction;of;expression]
[expression; ;gene]
[gene; ;HIV-1]
[expression;in;cells]
[cells; ;monocytic]
[cells;by;superantigens]
[occurred; ;superantigens]
[occurred;via;necrosis]
[necrosis; ;tumor]
[necrosis; ;factor-alpha-dependent]
[and; ;factor-alpha-dependent]
[and; ;-independent]
[mechanisms; ;-independent]
[dependent;-;alpha]
[alpha;-;factor]
