In conclusion an increased transcription efficiency of a cell type specific gene is accompanied by a higher hybridization accessibility in the corresponding cell nuclei.

[ ;In;conclusion]
[efficiency;of;gene]
[efficiency; ;transcription]
[transcription; ;increased]
[efficiency; ;an]
[gene; ;specific]
[specific; ;type]
[type; ;cell]
[gene; ;a]
[accompanied;is;gene]
[accompanied;by;accessibility]
[accessibility; ;hybridization]
[hybridization; ;higher]
[accessibility;in;nuclei]
[nuclei; ;cell]
[cell; ;corresponding]
[nuclei; ;the]
