Furthermore, an important role for egr-1 in determining the differentiation pathway of myeloid cell precursors has been recently elaborated. 
[an important role for egr-1 in determining the differentiation pathway of myeloid cell precursors has been recently elaborated; ;Furthermore]
[role; ;an]
[role; ;important]
[role;for;egr-1]
[role;in;determining]
[determining; ;pathway]
[pathway; ;the]
[pathway; ;differentiation]
[pathway;of;myeloid cell precursors]
[precursors; ;myeloid cell]
[elaborated; ;role]
[elaborated; ;been]
[been; ;has]
[elaborated; ;recently]
