Identification of nucleotide sequences that regulate transcription of the MCF13 murine leukemia virus long terminal repeat in activated T cells. 
[Identification;of@1;sequences]
[sequences; ;nucleotide]
[sequences; ;that]
[regulate; ;that]
[regulate; ;transcription]
[transcription;of@2;long terminal repeat]
[long terminal repeat; ;the MCF13 murine leukemia virus]
[repeat; ;terminal]
[repeat; ;long]
[murine leukemia virus; ;the]
[murine leukemia virus; ;MCF13]
[virus; ;murine]
[virus; ;leukemia]
[regulate;in;T cells]
[T cells; ;activated]
