TRAMP, a novel apoptosis-mediating receptor with sequence homology to tumor necrosis factor receptor 1 and Fas(Apo-1/CD95). 
[TRAMP; ;a novel apoptosis-mediating receptor with sequence homology to tumor necrosis factor receptor 1 and Fas]
[receptor; ;a]
[receptor; ;novel]
[receptor; ;apoptosis-mediating]
[mediating;-;apoptosis]
[receptor;with;homology]
[homology; ;sequence]
[receptor;to;receptor 1]
[receptor;to;Fas]
[receptor 1; ;tumor]
[receptor 1; ;necrosis]
[receptor 1; ;factor]
[and; ;receptor 1]
[and; ;Fas]
