Thus, Elf-1 is able to stimulate gene transcription which may be required for the development and activity of lymphocytes. 
[Elf-1 is able to stimulate gene transcription which may be required for the development and activity of lymphocytes; ;Thus]
[stimulate; ;is able to]
[stimulate; ;Elf-1]
[stimulate; ;gene transcription]
[transcription; ;gene]
[gene transcription; ;which]
[required; ;which]
[required; ;be]
[be; ;may]
[required;for;development]
[required;for;activity ]
[and; ;development]
[and; ;activity]
[development; ;the]
[activity; ;the]
[development;of;lymphocytes]
[activity;of;lymphocytes]
