Moreover, electrophoretic mobility shift assays demonstrated that CMV induced the formation of NF-kappaB and AP-1 complexes. 
[electrophoretic mobility shift assays demonstrated that CMV induced the formation of NF-kappaB and AP-1 complexes; ;Moreover]
[assays; ;electrophoretic]
[assays; ;mobility]
[assays; ;shift]
[demonstrated; ;assays]
[demonstrated; ;that]
[that; ;CMV induced the formation of NF-kappaB and AP-1 complexes]
[induced; ;CMV]
[induced; ;formation]
[formation; ;the]
[formation;of;complexes]
[complexes; ;NF-kappaB]
[complexes; ;AP-1]
[and; ;NF-kappaB]
[and; ;AP-1]
