Thus, BOB.1/OBF.1 is a transcriptional coactivator that is critically regulated by posttranslational modifications to mediate cell type-specific gene expression. 
[BOB.1/OBF.1 is a transcriptional coactivator that is critically regulated by posttranslational modifications to mediate cell type-specific gene expression; ;Thus]
[is; ;BOB.1/OBF.1]
[is; ;coactivator]
[coactivator; ;a]
[coactivator; ;transcriptional]
[coactivator; ;that]
[regulated; ;is]
[regulated; ;that]
[regulated; ;critically]
[regulated;by;modifications]
[modifications; ;posttranslational]
[regulated;to;mediate]
[mediate; ;gene expression]
[gene expression; ;cell]
[gene expression; ;type-specific]
[expression; ;gene]
