Studies of the mechanisms that enable EBV to infect nonactivated, noncycling B cells provide compelling evidence for a sequence of events in which EBV binding to CD21 on purified resting human B cells rapidly activates the NF-kappaB transcription factor, which, in turn, binds to and mediates transcriptional activation of Wp, the initial viral latent gene promoter. 
[Studies;of@1;mechanisms]
[mechanisms; ;the@1]
[mechanisms; ;that]
[enable; ;that]
[enable; ;EBV@1]
[enable;to;infect]
[infect; ;B cells]
[B cells; ;nonactivated]
[B cells; ;noncycling]
[provide; ;Studies]
[provide; ;evidence]
[evidence; ;compelling]
[evidence;for;sequence]
[sequence; ;a]
[sequence;of@2;events]
[events; ;which@1]
[activates;in;which@1]
[EBV@2; ;binding]
[binding;to@2;CD21]
[binding;on;B cells@2]
[B cells@2; ;purified]
[B cells@2; ;resting]
[B cells@2; ;human]
[activates; ;EBV@2]
[activates; ;rapidly]
[activates; ;transcription factor]
[transcription factor; ;the@2]
[transcription factor; ;NF-kappaB]
[factor; ;transcription]
[which binds to and mediates transcriptional activation of Wp, the initial viral latent gene promoter; ;in turn]
[transcription factor; ;which@2]
[binds; ;which@2]
[mediates; ;which@2]
[binds;to@3;activation]
[mediates; ;activation]
[and; ;binds]
[and; ;mediates]
[activation; ;activation]
[activation;of@3;Wp]
[Wp; ;the initial viral latent gene promoter]
[promoter; ;the@3]
[promoter; ;initial]
[promoter; ;viral]
[promoter; ;latent]
[promoter; ;gene]
