To initiate any disease process or for any disease process to progress, there must be changes in the transcription of genes within the affected tissue. 
[ ;To;initiate]
[initiate; ;process@1]
[process@1; ;any@1]
[process@1; ;disease@1]
[or; ;To]
[or; ;for]
[ ;for;process@2]
[process@2; ;any@2]
[process@2; ;disaese@2]
[progress;to;process@2]
[There ¡­be; ;must]
[There ¡­be; ;changes]
[changes;in;transcription]
[transcription; ;the@1]
[transcription;of;genes]
[ ;within;tissue]
[tissue; ;the@2]
[tissue; ;affected]
