To provide evidence for a direct effect of methylational status on PRO2_ promoter activity we performed reporter gene assays with PRO3_ promoter constructs before and after their in vitro methylation.
[ ;To;provide]
[provide; ;evidence]
[evidence;for;effect]
[effect; ;direct]
[effect; ;a]
[effect;of;methylational status]
[methylational status;on;PRO2_ promoter activity]
[performed; ;reporter gene assays]
[performed; ;activity]
[assays;with;PRO3_ promoter]
[constructs; ;PRO3_ promoter]
[constructs; ;before]
[and; ;before]
[and; ;after]
[ ;after;their]
[ ;in;vitro methylation]
