In contrast, control methylation of a reporter construct with a different promoter (PRO8_) as well as an empty vector had no effect on the reporter activity (data not shown).
[control methylation;of;reporter construct]
[reporter construct;with;promoter]
[promoter; ;different]
[promoter; ;a@2]
[reporter construct; ;a@1]
[promoter; ;PRO8_]
[as well as; ;promoter]
[as well as; ;vector]
[vector; ;empty]
[effect; ;had]
[effect; ;vector]
[effect; ;no]
[effect;on;reporter activity]
[reporter activity; ;the@1]
[reporter activity; ;data not shown]
