These data suggest a distinct regulatory mechanism for these two IRFs¡£PRO42_, similar to many other classical tumor suppressor genes PRO43_, PRO44_ or PRO45_, may thus be a subject of alterations in the promoter methylation status leading to expression changes, which might contribute to the initiation and/or progression of cancer.
[data; ;These]
[suggest; ;data]
[suggest; ;mechanism]
[mechanism; ;a]
[mechanism; ;distinct]
[mechanism; ;regulatory]
[mechanism;for;IRFs.PRO42_]
[IRFs.PRO42_; ;these]
[IRFs.PRO42_; ;two]
[similar;to;tumor suppressor genes]
[genes PRO43_; ;many]
[genes PRO43_; ;other]
[genes PRO43_; ;classical]
[genes PRO43_; ;tumor]
[genes PRO43_; ;suppressor]
[£¬or; ;genes PRO43_]
[£¬or; ;PRO44_]
[£¬or; ;PRO45_]
[be; ;tumor suppressor genes PRO43_, PRO44_ or PRO45_]
[be; ;thus]
[be; ;subject]
[subject; ;a]
[subject;of;alterations]
[be;in;promoter methylation status]
[promoter methylation status; ;the]
[status; ;promoter]
[status; ;methylation]
[status;leading;expression]
[leading;to;expression changes]
[changes; ;expression]
[expression changes; ;which]
[contribute; ;which]
[contribute; ;might]
[contribute;to;initiation]
[initiation; ;the]
[/; ;and]
[/; ;or]
[and/or; ;initiation]
[and/or; ;progression]
[progression;of;cancer]
