Briefly, total RNA was extracted using the RNeasy Mini Kit (Qiagen, Valencia, California, United States) according to manufacturer's guidelines, and cDNA was synthesized by reverse transcription using TaqMan Gold RT-PCR Kit using random hexamer primers (Applied Biosystems, Foster City, California, United States).
[RNA; ;total]
[extracted; ;total RNA]
[extracted; ;was]
[extracted;using;the RNeasy Mini Kit]
[RNeasy Mini Kit; ;the]
[the RNeasy Mini Kit; ;Qiagen, Valencia, California, United States]
[extracted;according to;manufacturer's guidelines]
[guidelines; ;manufacturer's]
[and; ;total RNA was extracted using the RNeasy Mini Kit (Qiagen, Valencia, California, United States) according to manufacturer's guidelines]
[and; ;cDNA was synthesized by reverse transcription using TaqMan Gold RT-PCR Kit using random hexamer primers (Applied Biosystems, Foster City, California, United States]]
[synthesized; ;cDNA]
[synthesized; ;was]
[synthesized;by;reverse transcription]
[transcription; ;reverse]
[synthesized;using;TaqMan Gold RT-PCR Kit]
[synthesized;using;random hexamer primers]
[primers; ;random]
[primers; ;hexamer]
[random hexamer primers; ;Applied Biosystems, Foster City, California, United States]
