Nuclear extracts were prepared from HEK 293T cells transfected with a control vector (EGFP) or PRO3_ expression vector (1,000 ng) in the presence or absence of forskolin (10 muM for 4 h) using the TransFactor Extraction Kit (BD Biosciences).
[extracts; ;Nuclear]
[prepared; ;extracts]
[prepared; ;were]
[prepared;from;HEK 293T cells]
[cells; ;HEK 293T]
[transfected; ;HEK 293T cells]
[transfected;with;a control vector (EGFP) or PRO3_ expression vector (1,000 ng]]
[vector; ;a]
[vector; ;control]
[vector; ;EGFP]
[or; ;control vector]
[or; ;PRO3_ expression vector]
[vector; ;PRO3_]
[vector; ;expression]
[vector; ;a]
[vector; ;1,000 ng]
[vector;in;the presence or absence of forskolin]
[presence or absence; ;the]
[or; ;presence]
[or; ;absence]
[presence;of;forskolin]
[absence;of;forskolin]
[forskolin; ;10 muM for 4 h]
[prepared;using;the TransFactor Extraction Kit]
[TransFactor Extraction Kit; ;the]
[Kit; ;TransFactor]
[Kit; ;Extraction]
[the TransFactor Extraction Kit; ;BD Biosciences]
