This analysis was repeated on four other PRO6_ transgenic lymphomas (1, 2, 3, and 6) showing a similar B-1a phenotype, of which lymphomas 2 and 4 were also doubly positive for kappa and lambda light chains.
[analysis; ;This ]
[repeated; ;analysis ]
[repeated; ;was ]
[repeated;on;lymphomas (1, 2, 3, and 6) ]
[lymphomas (1, 2, 3, and 6);  ;transgenic ]
[lymphomas (1, 2, 3, and 6);  ;PRO6_ ]
[PRO6_; ;other ]
[PRO6_; ;four ]
[and@1; ;1 ]
[and@1; ;2 ]
[and@1; ;3 ]
[and@1; ;6 ]
[showing; ;a similar B-1a phenotype, of which lymphomas 2 and 4 were also doubly positive for kappa and lambda light chains  ]
[phenotype; ;B-1a ]
[phenotype; ;similar ]
[phenotype; ;a ]
[ ;of;which ]
[which; ;lymphomas 2 and 4 were also doubly positive for kappa and lambda light chains  ]
[and@2; ;lymphomas 2 ]
[and@2; ;lymphomas 4 ]
[were; ;lymphomas 2 and 4 ]
[were; ;also ]
[were; ;positive ]
[positive; ;doubly ]
[positive;for;kappa ]
[positive;for;chains ]
[and@3; ;kappa ]
[and@3; ;chains  ]
[chains; ;light ]
[chains; ;lambda ]
