For transduction experiments, viral supernatants were generated by calcium phosphate transfection of Phoenix cells and concentration by overnight centrifugation at 6,000 g.
[ ;For;experiments] 

[experiments; ;transduction] 

[supernatants; ;viral] 

[generated; ;supernatants] 

[generated; ;were] 

[generated;by;transfection] 

[transfection; ;phosphate] 

[transfection; ;calcium] 

[transfection;of;cells] 

[cells; ;Phoenix] 

[and; ;cells] 

[and; ;concentration] 

[concentration;by;centrifugation] 

[centrifugation; ;overnight] 

[centrifugation;at;g] 

[g; ;6,000] 

